中文©新闻,#genre#
CCTV13[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13[960*540],https://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV13[1024*576],rtmp://ivi.bupt.edu.cn:1935/livetv/cctv13
河南卫视[1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226947/index.m3u8
凤凰资讯[1920*1080],http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
无线新闻[1920*1080],http://cdn.hkdtmb.com/hls/83/index.m3u8
TVBS News 新闻台[1280*720],http://198.16.106.62:8278/streams/d/tvbs_n/playlist.m3u8
體育©頻道,#genre#
CCTV5[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV5[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5[1920*1080],rtmp://ivi.bupt.edu.cn:1935/livetv/cctv5hd
CCTV5[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV5+[1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV5[1920*1080],http://39.135.32.24:6610/000000001000/1000000001000004794/index.m3u8?i
CCTV5+[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+[1920*1080],rtmp://ivi.bupt.edu.cn:1935/livetv/cctv5phd
CCTV5[1920*1080],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5[1920*1080],rtmp://58.200.131.2:1935/livetv/cctv5hd
CCTV5+[1920*1080],rtmp://58.200.131.2:1935/livetv/cctv5phd
CCTV5+[1920*1080],http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV5+[1920*1080],http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV5+[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
